,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri,price_sold_sek
158,2.0,33,True,1925.0,2226,0,False,False,False,False,False,False,False,True,False,False,False,True,2.0,False,False,False,False,False,3800000
159,2.0,58,True,2016.0,3460,7684,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,4250000
160,3.0,80,True,1967.0,5539,3600,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1495000
161,2.0,46,True,1904.0,2750,6800,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False,5400000
163,2.0,57,True,1911.0,3432,2400,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,True,False,4325000
164,4.0,101,True,1958.0,6190,0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False,6495000
166,2.0,76,True,1941.0,3577,0,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,False,False,True,False,6500000
167,3.0,75,True,1929.0,4312,19752,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,False,False,7600000
168,3.0,775,True,1963.0,4359,5400,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,2250000
169,2.0,40,True,1929.0,1909,6120,False,False,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,False,False,1930000
170,2.0,55,True,1998.0,3296,4560,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False,1600000
171,1.0,43,True,1926.0,2509,0,False,False,False,False,False,False,True,False,False,False,True,False,2.0,False,False,False,True,False,4050000
172,2.0,43,True,1931.0,1701,9000,False,False,False,False,True,False,False,False,False,False,True,False,1.0,False,False,False,False,False,4700000
173,3.0,78,True,1962.0,3955,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False,4000000
174,2.0,617,True,1963.0,4041,10743,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,3050000
175,2.0,60,True,1967.0,882,7200,False,False,False,False,False,False,False,True,False,False,False,False,7.0,False,False,False,False,False,6000000
176,2.0,57,True,1887.0,2801,0,False,False,False,False,False,False,False,True,False,False,True,False,1.0,False,False,False,False,False,6050000
177,4.0,85,True,1958.0,5736,4688,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False,2550000
178,1.0,27,True,1961.0,2254,0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,1700000
180,3.0,79,True,2009.0,4541,14160,False,False,False,False,False,False,False,False,False,False,False,False,4.0,True,False,False,False,False,4000000
181,1.0,37,True,1962.0,2646,3000,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False,1350000
182,2.0,58,True,1950.0,4304,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False,2650000
183,3.0,70,True,1935.0,2334,10200,False,False,False,False,True,False,False,False,False,False,False,False,2.0,False,False,False,False,False,8200000
