,price_sold_sek,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
106,2830000,2.0,36.0,True,1938.0,3094.0,5400.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
107,1980000,1.0,287.0,False,1984.0,1076.0,4800.0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
108,3500000,3.0,60.0,True,2010.0,2825.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,True,False,False
109,5275000,2.0,52.0,True,1939.0,3658.0,4200.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,True,False
110,4725000,3.0,77.0,True,1986.0,4780.0,9360.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False
111,2420000,1.0,30.0,False,1938.0,2295.0,8100.0,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
112,3450000,2.0,35.0,True,2021.0,2633.0,3840.0,False,False,False,False,False,False,True,False,False,False,True,False,4.0,False,False,False,True,False
113,5200000,3.0,735.0,True,2010.0,3960.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False
114,4125000,4.0,85.0,True,2017.0,5764.0,11400.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False
115,1710000,2.0,665.0,True,1984.0,4559.0,3000.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
116,3200000,2.0,61.0,True,2018.0,3990.0,7800.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
117,5350000,2.0,48.0,True,1882.0,2271.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,5.0,False,False,False,False,False
118,5300000,2.0,63.0,True,1964.0,2259.0,4200.0,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False
119,5275000,3.0,68.0,True,1990.0,3223.0,6684.0,False,False,False,False,False,False,True,False,False,False,False,False,3.0,False,False,False,False,False
120,5425000,2.0,41.0,True,1939.0,2900.0,4700.0,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False
121,3930000,3.0,75.0,True,2020.0,4378.0,8232.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
122,3050000,2.0,45.0,True,1939.0,3309.0,4780.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,False,False,False,False
123,5060000,2.0,70.0,True,2006.0,3910.0,6600.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
124,2995000,3.0,90.0,True,2003.0,6651.0,4800.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
125,3200000,1.0,29.0,True,1928.0,1549.0,3132.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,True,False,False,False,False
126,3950000,2.0,61.0,True,1959.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,6.0,False,False,False,True,False
127,4350000,4.0,110.0,True,1939.0,6268.0,12425.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
128,4950000,2.0,59.0,False,2016.0,3260.0,5400.0,False,False,False,True,False,False,False,False,False,False,False,True,3.897098512725144,False,False,False,False,False
129,6250000,4.0,795.0,True,2004.0,4635.0,8500.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,True,False,False,False,False
130,5600000,2.0,60.0,True,1928.0,3215.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,False,False
131,3160000,1.0,30.0,True,1931.0,1304.0,5880.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,True,False,False,False,False
132,4400000,4.0,102.0,False,1959.0,5284.0,3600.0,False,False,False,False,False,False,False,False,False,False,False,True,2.696298760030487,False,False,False,False,False
133,2600000,3.0,67.0,True,1973.0,4087.0,3600.0,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False
134,9550000,3.0,88.0,True,1914.0,5012.0,9744.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
135,4400000,2.0,64.0,False,1898.0,3971.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,2.268357798392419,False,False,False,False,False
136,1750000,1.0,24.0,False,1973.0,1798.0,3000.0,False,False,False,False,False,False,False,False,False,False,False,True,3.01505929915929,False,False,False,False,False
