iter	RMSE
810	618118.7358
811	617617.3613
812	617351.101
813	617079.326
814	616778.3133
815	616597.467
816	616325.355
817	615964.8692
818	615696.3248
819	615264.3941
820	614682.766
821	614311.7976
822	614050.2894
823	613476.8889
824	613244.9361
825	612686.2626
826	612109.74
827	611929.2929
828	611648.3696
829	611313.3392
830	610556.6617
831	610262.6205
832	609957.7936
833	609562.3962
834	608998.658
835	608643.2772
836	608433.0954
837	608117.6449
838	607517.8687
839	607148.503
840	606549.2857
841	606081.5488
842	605862.6624
843	605651.4995
844	605318.6546
845	605081.1833
846	604362.0889
847	603856.7173
848	603494.4808
849	603177.6007
850	602793.4504
851	602122.7219
852	601924.3647
853	601692.1642
854	601037.1483
855	600703.4001
856	600276.2585
857	600031.6744
858	599431.2987
859	599183.5455
860	598843.5972
861	598388.075
862	598156.1093
863	597882.8512
864	597659.0783
865	597527.9093
866	597269.9481
867	596965.6677
868	596749.4294
869	596550.8125
870	596301.1673
871	595984.9707
872	595707.1731
873	595256.3209
874	594912.5589
875	594659.4245
876	594392.5043
877	594063.7934
878	593951.0845
879	593452.8412
880	593041.0362
881	592750.0393
882	592296.6149
883	592280.9671
884	592017.95
885	591808.3072
886	591684.9481
887	591442.7338
888	591056.2693
889	590567.0142
890	590097.0217
891	589930.2081
892	589292.8048
893	589009.6484
894	588725.4666
895	588610.5858
896	588538.5877
897	588298.6027
898	587930.1321
899	587509.4091
900	587076.064
901	586902.2735
902	586605.1766
903	586386.6568
904	586213.4645
905	585786.5551
906	585457.6611
907	585136.9828
908	584770.094
909	584281.9279
910	583758.8021
911	583551.138
912	583216.2344
913	583035.8749
914	582570.7768
915	582147.4936
916	582019.5375
917	581489.2808
918	581189.6232
919	580669.2994
920	580548.5992
921	580245.4222
922	579875.015
923	579702.275
924	579463.2351
925	579051.6764
926	578911.0229
927	578777.6401
928	578341.461
929	578082.9483
930	577754.8487
931	577613.1668
932	577276.8503
933	576928.2877
934	576672.0524
935	576471.5361
936	576266.1172
937	575706.1656
938	575406.1921
939	575197.1896
940	575060.5905
941	574714.9486
942	574393.0781
943	574116.2727
944	573778.3361
945	573602.0209
946	573044.2156
947	572434.2989
948	571928.7526
949	571668.0666
950	571327.7477
951	571043.0983
952	570668.9552
953	570340.6477
954	569989.2502
955	569573.6269
956	569162.7961
957	568892.6108
958	568641.1438
959	568256.3056
960	568038.6468
961	567445.2435
962	567042.9657
963	566901.6722
964	566645.176
965	566328.5368
966	565940.9781
967	565762.7195
968	565595.8466
969	565281.4658
970	564901.2826
971	564371.3531
972	564109.413
973	563936.2312
974	563550.8936
975	563142.0557
976	562718.323
977	562456.9626
978	562097.5975
979	561740.5435
980	561410.7489
981	560952.2406
982	560637.3821
983	560354.7347
984	560224.6577
985	559875.359
986	559492.6796
987	559218.6661
988	559044.8827
989	558719.7493
990	558463.1555
991	558241.2995
992	557969.7686
993	557608.2574
994	557327.5741
995	557039.6005
996	556781.0206
997	556475.4089
998	556085.9365
999	555887.0901
